#time	SIM_10/	SIM_15/	SIM_20/	SIM_5/
219.00	75.00	127.90	137.70	37.70
219.60	66.40	138.40	129.80	49.20
220.20	63.20	139.60	132.90	40.00
220.80	74.30	127.30	135.40	34.30
221.40	80.00	123.60	146.40	37.50
222.00	88.50	124.20	140.30	32.10
222.60	87.50	123.70	138.10	34.10
223.20	85.10	131.00	141.40	35.50
223.80	84.10	121.00	134.30	25.70
224.40	84.00	128.50	131.80	7.70
225.00	79.60	127.10	138.80	15.60
225.60	84.30	124.70	145.50	20.30
226.20	84.60	120.50	147.10	24.10
226.80	98.20	123.20	136.30	16.60
227.40	86.50	127.40	128.90	23.60
228.00	95.90	128.00	132.30	27.70
228.60	79.20	124.50	123.90	36.90
229.20	98.70	122.60	144.30	18.10
229.80	99.20	131.60	145.30	27.90
230.40	97.00	128.90	144.70	27.90
231.00	98.40	132.40	140.20	15.80
231.60	92.50	137.10	141.80	13.50
232.20	94.80	142.70	148.80	16.60
232.80	106.00	140.70	152.40	18.80
233.40	95.10	136.00	143.40	24.80
234.00	80.80	130.50	145.70	35.90
234.60	86.10	136.90	137.50	33.70
235.20	89.20	137.70	147.00	45.00
235.80	87.10	131.60	151.60	31.40
236.40	100.20	135.50	148.30	31.80
237.00	103.30	131.80	139.70	34.50
237.60	105.70	132.00	143.30	39.50
238.20	100.90	134.00	131.40	23.50
238.80	104.30	130.60	139.80	23.60
239.40	89.40	128.10	141.60	19.20
240.00	90.60	131.10	142.70	18.00
240.60	78.20	126.70	142.90	25.40
241.20	75.80	127.20	147.40	29.60
241.80	92.20	121.80	132.00	16.90
242.40	95.40	116.90	133.70	19.10
243.00	92.10	128.60	131.10	26.10
243.60	88.30	119.00	144.30	18.00
244.20	90.00	127.00	133.60	19.40
244.80	95.10	132.20	132.80	20.30
245.40	96.30	110.30	131.80	18.70
246.00	99.80	117.60	136.40	19.50
246.60	101.80	128.00	133.50	22.30
247.20	96.50	132.00	151.90	24.00
247.80	95.20	128.20	141.80	19.80
248.40	96.10	120.30	142.50	32.60
249.00	88.70	127.40	142.30	21.60
249.60	83.90	129.50	141.60	26.80
250.20	83.60	128.10	138.30	24.80
250.80	80.40	125.40	142.70	23.50
251.40	89.70	130.10	143.50	34.60
252.00	96.20	126.60	150.30	30.10
252.60	99.20	130.00	140.80	25.30
253.20	99.20	119.50	145.20	10.20
253.80	97.90	112.60	138.70	25.60
254.40	96.50	107.90	136.60	15.00
255.00	89.90	115.40	131.10	16.40
255.60	81.20	115.50	135.70	20.90
256.20	79.60	122.50	132.20	25.70
256.80	84.00	110.40	141.80	34.10
257.40	76.60	118.90	146.80	36.30
258.00	74.40	120.10	142.00	20.00
258.60	74.90	120.50	139.90	22.70
259.20	89.00	133.90	142.60	18.00
259.80	89.60	137.60	140.60	23.10
260.40	86.60	139.20	129.90	21.70
261.00	89.10	134.60	132.80	29.80
261.60	89.40	138.70	133.40	26.50
262.20	94.00	137.40	141.40	23.30
262.80	87.50	120.10	135.40	14.30
263.40	79.40	128.10	134.70	11.60
264.00	84.60	123.80	136.80	15.40
264.60	86.70	126.00	136.70	16.00
265.20	88.80	120.90	145.70	12.40
265.80	96.50	134.40	141.50	17.00
266.40	89.10	124.80	146.00	19.10
267.00	80.10	142.90	138.90	27.10
267.60	76.60	147.30	132.30	24.50
268.20	74.50	145.20	137.40	21.40
268.80	87.50	144.10	143.60	17.20
269.40	90.70	143.50	127.90	13.30
270.00	85.50	136.90	135.80	22.50
270.60	88.00	136.70	139.70	20.20
271.20	86.90	132.10	145.70	23.40
271.80	76.50	137.60	146.90	24.50
272.40	80.10	147.90	136.50	23.00
273.00	81.00	145.20	138.60	20.20
273.60	71.80	140.90	141.70	26.50
274.20	80.20	136.90	140.20	32.30
274.80	85.40	134.80	140.70	41.40
275.40	89.70	148.20	142.10	44.50
276.00	88.40	147.60	139.70	33.50
276.60	83.30	149.60	139.20	44.80
277.20	84.00	152.30	138.00	43.80
277.80	86.60	139.20	138.60	37.90
278.40	84.70	144.30	138.20	36.00
279.00	92.70	143.90	136.60	17.50
279.60	87.20	137.90	128.90	13.50
280.20	93.60	143.80	138.20	25.70
280.80	96.90	146.60	143.20	29.20
281.40	98.60	143.50	145.80	31.70
282.00	103.70	148.70	134.40	28.60
282.60	95.20	130.80	118.70	34.20
283.20	88.60	140.00	123.60	29.10
283.80	93.50	138.00	122.30	22.90
284.40	79.60	135.00	123.90	25.30
285.00	87.50	127.50	125.70	24.00
285.60	93.70	131.50	132.80	25.20
286.20	91.80	140.40	131.30	31.80
286.80	91.40	141.60	143.90	26.10
287.40	101.40	141.90	126.10	38.80
288.00	97.20	142.60	140.10	28.50
288.60	94.30	145.20	133.90	31.10
289.20	89.40	149.00	129.00	34.50
289.80	94.10	148.50	134.90	40.40
290.40	91.70	143.20	127.80	44.20
291.00	79.90	134.80	131.20	35.80
291.60	87.90	142.00	132.80	26.20
292.20	94.50	140.90	135.80	37.00
292.80	93.70	142.40	141.00	33.00
293.40	95.90	143.60	135.30	34.20
294.00	85.40	126.40	133.70	32.20
294.60	92.70	150.70	132.50	36.20
295.20	95.40	146.80	133.70	34.10
295.80	92.60	129.90	134.70	34.40
296.40	89.30	137.10	137.20	22.30
297.00	91.80	131.60	139.60	35.10
297.60	95.70	130.70	137.40	31.70
298.20	85.60	130.80	138.00	39.00
298.80	80.40	130.90	138.50	37.40
299.40	81.20	135.90	143.30	39.80
300.00	65.70	133.70	139.90	39.40
300.60	75.60	142.80	134.80	42.50
301.20	81.00	138.80	127.80	48.40
301.80	89.70	146.50	135.90	44.10
302.40	93.70	142.60	131.50	50.60
303.00	96.10	139.00	129.20	58.10
303.60	93.40	134.50	130.30	48.50
304.20	99.00	130.80	125.50	39.70
304.80	106.30	145.50	113.90	39.90
305.40	105.60	144.80	122.50	44.80
306.00	89.70	145.00	121.30	47.00
306.60	96.00	129.60	122.40	55.40
307.20	104.20	139.60	124.60	39.70
307.80	104.50	145.70	129.10	41.10
308.40	109.90	144.20	122.40	47.80
309.00	100.40	147.60	119.60	55.60
309.60	99.90	144.80	120.70	59.40
310.20	101.00	142.90	129.50	54.10
310.80	95.80	149.90	127.00	59.10
311.40	96.60	148.10	139.00	45.40
312.00	95.90	149.70	137.70	59.50
312.60	99.10	146.20	126.10	50.50
313.20	89.80	146.80	122.40	50.60
313.80	95.20	146.60	117.90	55.60
314.40	91.20	135.60	117.90	54.50
315.00	88.30	149.10	121.30	52.90
315.60	85.30	144.10	126.60	50.90
316.20	87.70	142.20	130.10	50.60
316.80	88.10	145.50	135.30	60.60
317.40	87.50	145.50	132.70	54.50
318.00	96.40	147.10	131.30	57.50
318.60	98.00	144.50	109.20	43.80
319.20	93.00	139.40	113.60	44.30
319.80	102.20	127.40	114.10	44.80
320.40	97.30	136.90	118.10	56.00
321.00	90.60	128.60	118.10	53.20
321.60	90.20	125.20	128.00	53.10
322.20	99.90	128.70	132.40	47.00
322.80	100.30	122.90	121.60	43.80
323.40	108.90	129.40	117.90	49.50
324.00	108.20	117.80	122.20	38.40
324.60	98.50	110.30	125.90	32.80
325.20	100.20	110.80	129.80	38.50
325.80	96.40	113.40	130.00	45.90
326.40	104.90	120.30	130.60	47.20
327.00	101.30	117.90	114.20	54.00
327.60	102.10	113.10	121.90	48.90
328.20	105.00	112.10	120.80	49.60
328.80	101.40	121.90	118.60	52.70
329.40	98.10	121.90	123.00	42.00
330.00	98.20	117.00	114.60	42.40
330.60	91.70	123.50	120.50	42.20
331.20	97.40	132.50	124.20	48.10
331.80	92.40	132.60	122.20	38.60
332.40	90.60	122.90	122.00	46.80
333.00	105.40	130.80	125.70	50.50
333.60	103.10	124.90	125.20	46.60
334.20	108.20	124.60	126.70	50.80
334.80	108.50	128.70	131.60	39.30
335.40	104.50	128.60	111.20	35.10
336.00	106.50	132.70	114.30	41.60
336.60	99.80	134.40	115.20	41.40
337.20	96.60	141.40	116.20	48.20
337.80	92.80	141.40	117.60	42.40
338.40	92.70	138.50	112.30	46.40
339.00	90.60	118.50	126.50	42.30
339.60	100.00	127.20	126.40	29.20
340.20	103.30	126.30	130.30	42.60
340.80	117.80	138.30	128.80	46.90
341.40	106.50	140.10	131.00	46.90
342.00	109.50	130.10	138.50	46.30
342.60	107.30	133.50	136.20	50.50
343.20	98.10	133.90	139.50	52.60
343.80	102.10	139.40	134.00	42.80
344.40	94.30	133.80	137.80	38.40
345.00	89.70	142.00	142.40	39.30
345.60	90.20	131.00	135.80	55.60
346.20	99.10	141.10	137.40	47.40
346.80	85.30	146.70	135.80	49.20
347.40	97.40	141.30	133.60	51.70
348.00	101.30	147.40	135.90	44.20
348.60	100.80	147.40	133.40	32.40
349.20	96.00	151.20	129.70	19.10
349.80	96.10	142.30	125.20	16.60
350.40	92.10	144.40	128.80	21.00
351.00	94.20	140.10	126.20	30.50
351.60	96.30	144.10	120.10	22.80
352.20	91.70	142.80	135.30	16.60
352.80	82.20	131.80	139.60	20.20
353.40	95.80	132.70	145.00	19.30
354.00	96.70	127.60	141.90	22.10
354.60	93.00	124.80	137.00	17.70
355.20	90.30	137.50	134.10	18.40
355.80	88.90	130.80	131.70	22.40
356.40	85.90	135.40	138.50	18.90
357.00	81.30	145.20	151.10	17.10
357.60	86.80	145.80	139.10	21.00
358.20	89.80	146.70	136.10	16.50
358.80	95.00	139.40	128.90	16.90
359.40	87.50	145.30	135.10	15.30
360.00	84.10	135.50	143.40	16.30
360.60	77.50	138.90	144.60	22.40
361.20	75.40	126.40	144.20	33.10
361.80	80.60	143.20	140.60	27.20
362.40	75.80	147.00	134.30	24.70
363.00	76.90	135.30	137.70	16.00
363.60	83.40	138.10	134.60	21.10
364.20	83.80	138.40	140.50	28.70
364.80	82.70	133.80	135.40	37.00
365.40	83.40	133.00	138.40	31.50
366.00	87.10	136.80	146.50	13.90
366.60	83.00	136.70	139.00	23.00
367.20	80.60	136.20	134.40	26.30
367.80	70.40	145.40	135.10	18.30
368.40	76.20	135.00	137.90	14.70
369.00	82.70	128.80	132.00	18.70
369.60	81.00	113.10	137.00	24.90
370.20	81.10	125.10	149.10	32.60
370.80	77.20	133.40	143.70	29.60
371.40	81.80	134.80	143.00	32.10
372.00	71.80	128.30	146.60	33.70
372.60	79.40	134.60	144.30	36.30
373.20	73.70	130.90	140.10	30.60
373.80	70.50	131.10	140.90	30.40
374.40	70.60	138.40	131.50	45.60
375.00	75.20	140.20	127.70	28.30
375.60	72.90	122.00	137.50	14.20
376.20	68.10	126.40	141.50	23.30
376.80	60.50	141.20	135.10	17.00
377.40	66.20	137.40	140.40	25.50
378.00	63.40	139.40	134.50	19.60
378.60	62.10	137.10	132.40	23.60
379.20	69.70	134.30	131.30	24.60
379.80	72.00	127.90	133.80	45.10
380.40	71.20	132.10	132.30	40.00
381.00	71.60	122.00	134.60	32.20
381.60	82.50	123.30	133.80	19.40
382.20	76.60	121.20	123.50	30.30
382.80	70.30	131.00	136.70	28.60
383.40	71.20	130.00	132.00	26.60
384.00	77.60	136.70	140.50	26.60
384.60	72.10	133.20	128.70	33.70
385.20	61.30	123.10	132.50	35.90
385.80	70.10	124.10	130.00	29.20
386.40	61.30	115.30	124.20	27.60
387.00	63.10	116.40	128.00	19.30
