#time	SIM_5_5/
499.20	149.70
499.80	161.80
500.40	146.70
501.00	143.00
501.60	155.40
502.20	142.50
502.80	143.20
503.40	135.80
504.00	140.00
504.60	138.10
505.20	131.70
505.80	145.30
506.40	138.10
507.00	148.10
507.60	142.40
508.20	156.60
508.80	171.60
509.40	166.80
510.00	162.80
510.60	166.80
511.20	162.60
511.80	155.80
512.40	171.20
513.00	172.00
513.60	161.60
514.20	166.70
514.80	165.40
515.40	180.20
516.00	170.80
516.60	164.40
517.20	168.90
517.80	160.60
518.40	153.80
519.00	151.50
519.60	170.30
520.20	156.40
520.80	168.60
521.40	158.90
522.00	168.60
522.60	164.20
523.20	148.40
523.80	157.50
524.40	152.80
525.00	166.30
525.60	171.00
526.20	157.50
526.80	170.60
527.40	158.70
528.00	140.20
528.60	158.20
529.20	156.20
529.80	165.40
530.40	150.80
531.00	149.70
531.60	148.20
532.20	144.20
532.80	153.70
533.40	169.30
534.00	167.50
534.60	155.80
535.20	140.00
535.80	152.00
536.40	157.40
537.00	168.60
537.60	155.40
538.20	170.10
538.80	164.60
539.40	167.40
540.00	158.40
540.60	173.30
541.20	172.20
541.80	172.00
542.40	166.00
543.00	167.40
543.60	161.00
544.20	166.60
544.80	165.50
545.40	154.80
546.00	163.50
546.60	157.50
547.20	146.00
547.80	152.80
548.40	148.80
549.00	146.30
549.60	136.20
550.20	139.90
550.80	132.90
551.40	135.60
552.00	128.70
552.60	127.70
553.20	136.50
553.80	131.60
554.40	127.50
555.00	111.10
555.60	118.70
556.20	128.90
556.80	139.10
557.40	144.80
558.00	140.30
558.60	122.90
559.20	127.80
559.80	105.60
560.40	102.60
561.00	102.80
561.60	105.70
562.20	96.80
562.80	107.10
563.40	128.20
564.00	131.30
564.60	136.00
565.20	129.10
565.80	140.80
566.40	142.10
567.00	137.40
567.60	139.50
568.20	125.00
568.80	119.80
569.40	114.00
570.00	113.40
570.60	103.00
571.20	106.20
571.80	96.80
572.40	83.90
573.00	86.00
573.60	83.70
574.20	97.80
574.80	84.40
575.40	89.40
576.00	91.50
576.60	93.00
577.20	96.80
577.80	97.00
578.40	107.90
579.00	109.20
579.60	113.20
580.20	98.40
580.80	93.20
581.40	95.00
582.00	90.50
582.60	89.50
583.20	98.30
583.80	100.70
584.40	109.40
585.00	128.60
585.60	137.70
586.20	119.30
586.80	117.30
587.40	126.40
588.00	119.50
588.60	139.40
589.20	131.90
589.80	133.80
590.40	129.20
591.00	126.20
591.60	142.90
592.20	135.20
592.80	136.80
593.40	131.80
594.00	123.70
594.60	123.70
595.20	110.20
595.80	119.00
596.40	100.60
597.00	96.00
597.60	94.90
598.20	94.90
598.80	83.00
599.40	93.50
600.00	87.70
600.60	80.70
601.20	86.10
601.80	98.20
602.40	94.90
603.00	97.50
603.60	96.30
604.20	88.90
604.80	88.50
605.40	70.90
606.00	69.40
606.60	75.20
607.20	89.30
607.80	86.90
608.40	97.80
609.00	107.10
609.60	97.20
610.20	105.00
610.80	110.30
611.40	115.90
612.00	95.80
612.60	97.50
613.20	100.60
613.80	97.40
614.40	87.80
615.00	103.90
615.60	113.50
616.20	104.00
616.80	107.40
617.40	102.30
618.00	103.80
618.60	109.30
619.20	111.10
619.80	114.80
620.40	118.60
621.00	131.50
621.60	148.50
622.20	136.10
622.80	123.50
