#time	SIM_7.5_0/
754.80	102.90
755.40	101.90
756.00	97.10
756.60	87.00
757.20	78.90
757.80	77.50
758.40	94.00
759.00	95.40
759.60	89.70
760.20	76.40
760.80	81.70
761.40	85.10
762.00	85.50
762.60	80.30
763.20	85.00
763.80	73.00
764.40	76.40
765.00	86.70
765.60	92.10
766.20	87.90
766.80	77.90
767.40	67.70
768.00	70.40
768.60	82.50
769.20	79.30
769.80	92.90
770.40	97.80
771.00	99.00
771.60	100.90
772.20	101.00
772.80	96.70
773.40	92.50
774.00	86.40
774.60	78.50
775.20	62.50
775.80	58.70
776.40	57.80
777.00	54.70
777.60	59.50
778.20	71.00
778.80	68.60
779.40	65.50
780.00	79.90
780.60	88.60
781.20	81.80
781.80	92.00
782.40	92.40
783.00	109.00
783.60	134.60
784.20	130.40
784.80	114.10
785.40	120.50
786.00	129.90
786.60	122.60
787.20	122.30
787.80	135.00
788.40	130.40
789.00	128.80
789.60	132.50
790.20	127.50
790.80	127.00
791.40	123.60
792.00	121.50
792.60	131.40
793.20	129.30
793.80	142.40
794.40	146.10
795.00	143.80
795.60	150.30
796.20	150.40
796.80	147.40
797.40	153.30
798.00	140.10
798.60	155.30
799.20	163.10
799.80	148.60
800.40	147.10
801.00	140.20
801.60	151.30
802.20	145.60
802.80	160.50
803.40	169.30
804.00	174.70
804.60	180.00
805.20	175.90
805.80	184.50
806.40	183.10
807.00	193.60
807.60	174.10
808.20	178.70
808.80	182.40
809.40	169.50
810.00	173.40
810.60	183.80
811.20	175.50
811.80	175.60
812.40	179.70
813.00	173.50
813.60	179.80
814.20	171.90
814.80	176.70
815.40	166.70
816.00	160.00
816.60	169.50
817.20	152.90
817.80	147.00
818.40	155.20
819.00	158.10
819.60	159.60
820.20	162.00
820.80	164.40
821.40	153.50
822.00	141.90
822.60	142.50
823.20	138.60
823.80	139.80
824.40	142.40
825.00	151.40
825.60	151.90
826.20	158.40
826.80	155.80
827.40	154.50
828.00	151.10
828.60	151.40
829.20	163.10
829.80	159.00
830.40	156.00
831.00	152.70
831.60	141.10
832.20	146.60
832.80	140.10
833.40	132.40
834.00	124.00
834.60	106.40
835.20	104.60
835.80	133.40
836.40	123.40
837.00	136.30
837.60	118.70
838.20	135.60
838.80	138.20
839.40	144.60
840.00	140.70
840.60	146.40
841.20	131.60
841.80	143.70
842.40	143.40
843.00	147.70
843.60	151.00
844.20	148.60
844.80	143.30
845.40	150.00
846.00	145.70
846.60	148.20
847.20	155.30
847.80	142.80
848.40	145.10
849.00	159.90
849.60	163.20
850.20	165.50
850.80	164.10
851.40	164.40
852.00	166.70
852.60	156.80
853.20	168.20
853.80	162.80
854.40	159.30
855.00	156.30
855.60	159.40
856.20	160.50
856.80	160.10
857.40	165.20
858.00	154.50
858.60	148.20
859.20	163.00
859.80	176.90
860.40	177.40
861.00	180.00
861.60	182.30
862.20	167.60
862.80	177.10
863.40	168.60
864.00	180.20
864.60	179.10
865.20	187.40
865.80	183.10
866.40	182.70
867.00	187.30
867.60	187.00
868.20	179.40
868.80	172.50
869.40	171.70
870.00	173.80
870.60	178.20
871.20	186.20
871.80	181.40
872.40	166.70
873.00	170.50
873.60	177.20
874.20	180.30
874.80	173.70
875.40	172.50
876.00	173.60
876.60	162.40
877.20	158.90
877.80	159.80
878.40	170.30
879.00	169.40
879.60	163.70
880.20	159.60
880.80	170.50
881.40	178.10
882.00	183.80
882.60	189.10
883.20	181.70
883.80	181.90
884.40	179.10
885.00	171.50
885.60	185.70
886.20	202.90
886.80	216.30
887.40	210.50
888.00	212.60
888.60	199.40
889.20	199.10
889.80	200.90
890.40	197.20
891.00	204.40
891.60	204.40
892.20	195.30
892.80	191.10
893.40	198.00
894.00	203.60
894.60	198.00
895.20	179.80
895.80	191.00
896.40	196.50
897.00	202.00
897.60	195.60
898.20	178.50
898.80	181.60
899.40	173.90
900.00	168.60
900.60	178.10
901.20	179.10
901.80	193.70
902.40	188.70
903.00	181.70
903.60	181.00
904.20	174.40
904.80	178.80
905.40	173.10
906.00	168.70
906.60	177.30
907.20	181.50
